Vehicle_ID,Vehicle_Type,Fuel_Type,Route_Type,Vehicle_Age,Mileage,Usage_Hours,Driving_Score,Load_Capacity,Engine_Temperature,Tire_Pressure,Battery_Health,Fuel_Consumption_Before,Need_Maintenance,Service_Required,Breakdown_Risk,Vehicle_Health_Score,Estimated_Maintenance_Cost,Fuel_Consumption_After
VH02705,Van,Electric,Rural,6,171838,10487,47,1810,108,37,59,15.27,1,Battery Check,Medium,48.44,3843,13.92
VH02706,SUV,Hybrid,Highway,7,160859,673,42,1440,93,31,62,6.62,0,No Service,Low,60.5,864,4.68
VH02707,Sedan,Hybrid,Rural,6,63034,1648,66,1536,121,35,92,10.57,0,No Service,Low,67.83,894,9.31
VH02708,SUV,Hybrid,Rural,11,107431,8477,54,1900,93,30,63,17.88,1,Battery Check,High,44.51,13487,16.62
VH02709,Van,Diesel,Highway,6,40568,6145,47,3980,107,32,78,16.93,1,Oil Change,High,48.89,4063,16.01
VH02710,Van,Diesel,Urban,15,78633,3592,57,3511,113,28,41,9.29,1,Engine Service,Medium,41.89,5286,8.45
VH02711,SUV,Electric,Urban,9,119582,10535,68,4403,76,28,51,7.91,1,Battery Check,Medium,47.6,14847,7.25
VH02712,Truck,Diesel,Urban,8,127634,8325,85,1224,79,35,53,8.27,0,No Service,Low,65.71,2473,6.78
VH02713,SUV,Electric,Rural,14,194526,7939,90,687,99,34,85,13.9,0,No Service,Low,57.48,1435,12.55
VH02714,Van,Petrol,Urban,8,222576,9912,75,3272,108,28,54,14.44,1,Engine Service,Medium,38.97,5685,13.16
VH02715,SUV,Petrol,Highway,6,201703,5789,42,3080,93,33,95,7.81,0,No Service,Low,57.54,2203,5.91
VH02716,Truck,Diesel,Rural,5,126170,1996,93,4200,96,29,30,8.12,0,No Service,Low,56.41,2984,6.66
VH02717,SUV,Petrol,Rural,9,26642,2555,48,3439,99,39,63,9.2,0,No Service,Low,63.11,1149,8.16
VH02718,Truck,Petrol,Rural,12,89176,10092,49,1638,84,28,34,10.63,1,Battery Check,Medium,43.89,17660,9.75
VH02719,Truck,Hybrid,Urban,2,92373,5516,79,703,122,37,46,16.93,0,No Service,Low,60.56,1417,15.71
VH02720,SUV,Hybrid,Urban,7,281134,10375,59,3880,71,32,30,5.34,1,Oil Change,High,46.64,15774,4.36
VH02721,SUV,Electric,Urban,6,192735,5483,41,1845,77,32,50,13.3,1,Engine Service,High,51.75,17303,12.29
VH02722,Sedan,Petrol,Rural,7,14170,1505,97,860,86,29,35,16.2,0,No Service,Low,63.56,1644,14.67
VH02723,Van,Electric,Highway,12,165889,11980,40,1643,117,39,68,14.4,1,Battery Check,High,44.55,14553,13.47
VH02724,Truck,Electric,Rural,4,142784,10944,66,713,82,32,88,7.82,0,No Service,Low,65.94,606,7.29
VH02725,Sedan,Petrol,Highway,9,263186,4638,43,2348,87,34,49,11.2,1,Engine Service,Medium,48.7,13872,10.17
VH02726,SUV,Diesel,Rural,7,193551,1286,87,3882,90,31,93,16.83,0,No Service,Low,58.2,641,14.94
VH02727,Van,Petrol,Highway,2,221911,2239,76,1141,105,29,53,6.5,0,No Service,Low,62.01,2128,5.02
VH02728,Sedan,Hybrid,Rural,13,263795,2778,71,1105,81,32,70,17.84,1,Engine Service,High,52.03,12647,16.56
VH02729,Truck,Petrol,Rural,4,31625,3894,57,865,112,38,96,6.87,0,No Service,Low,76.1,2493,5.7
VH02730,Sedan,Diesel,Highway,5,154833,2819,53,1728,71,33,67,6.85,0,No Service,Low,67.65,2663,5.08
VH02731,Truck,Electric,Highway,2,273965,8148,84,1398,89,35,67,15.57,0,No Service,Low,59.26,1076,14.88
VH02732,SUV,Electric,Highway,10,110120,4702,87,4782,92,36,57,15.77,1,Oil Change,High,53.87,13460,14.81
VH02733,Van,Hybrid,Highway,8,189718,10518,54,3271,90,38,39,5.49,1,Battery Check,Medium,52.89,14696,4.14
VH02734,Van,Hybrid,Highway,1,255851,10623,90,3564,100,37,53,7.19,0,No Service,Low,59.09,1607,5.69
VH02735,Van,Hybrid,Highway,15,46200,4550,43,3250,85,35,91,17.33,1,Engine Service,High,52.58,15841,16.35
VH02736,SUV,Electric,Highway,3,189322,11660,58,589,82,34,81,8.63,0,No Service,Low,63.55,1106,6.92
VH02737,Truck,Hybrid,Highway,15,170256,4057,63,1488,73,36,53,5.16,0,No Service,Low,62.83,922,4.18
VH02738,SUV,Petrol,Rural,14,167667,6169,69,2940,71,36,79,8.3,0,No Service,Low,61.33,1117,7.75
VH02739,Van,Electric,Highway,1,101568,8779,52,3711,119,33,67,14.56,1,Oil Change,High,48.69,14362,13.3
VH02740,SUV,Diesel,Highway,15,114567,378,50,792,70,39,98,16.91,0,No Service,Low,67.9,991,14.92
VH02741,SUV,Electric,Rural,5,289901,2691,67,1989,95,30,47,7.02,1,Oil Change,High,55.07,7458,6.02
VH02742,SUV,Petrol,Rural,8,117136,8941,89,3669,99,39,78,7.92,0,No Service,Low,64.94,1130,6.94
VH02743,Truck,Petrol,Urban,7,236401,11270,96,4765,123,38,46,10.74,1,Oil Change,Medium,46.54,6038,9.51
VH02744,Sedan,Hybrid,Urban,9,202421,454,50,1949,107,35,82,14.73,0,No Service,Low,55.97,611,13.96
VH02745,Sedan,Electric,Highway,2,179002,2342,93,1590,89,30,35,13.56,0,No Service,Low,60.87,2177,12.16
VH02746,SUV,Electric,Highway,12,102342,4999,40,4129,94,28,95,9.26,1,Oil Change,Medium,48.85,13762,8.13
VH02747,Sedan,Electric,Urban,8,98760,6336,86,3115,121,39,34,5.86,0,No Service,Low,59.96,1164,4.76
VH02748,Sedan,Diesel,Urban,8,144883,2580,95,650,88,31,31,8.29,0,No Service,Low,64.55,2856,6.74
VH02749,SUV,Hybrid,Highway,14,171440,657,81,1483,96,36,91,7.85,0,No Service,Low,68.96,1835,7.08
VH02750,SUV,Petrol,Urban,6,284277,3586,93,2319,79,35,34,5.27,0,No Service,Low,64.19,1552,3.28
VH02751,Van,Petrol,Highway,3,56986,261,43,1476,110,33,60,17.68,0,No Service,Low,57.52,2459,16.35
VH02752,Sedan,Hybrid,Rural,2,234179,6344,77,688,86,30,92,8.32,0,No Service,Low,67.7,1192,7.55
VH02753,Truck,Petrol,Rural,14,65508,798,73,3278,116,30,47,15.87,1,Engine Service,Medium,45.75,19457,15.25
VH02754,SUV,Petrol,Urban,8,273545,10265,88,4256,71,34,86,11.3,0,No Service,Low,55.71,2390,9.67
VH02755,Van,Hybrid,Rural,6,151076,3644,51,3071,86,32,91,17.64,1,Battery Check,Medium,54.78,9135,16.79
VH02756,Truck,Petrol,Rural,4,239921,3877,93,1686,76,30,33,6.94,0,No Service,Low,62.84,2628,5.33
VH02757,Sedan,Electric,Rural,5,176373,2305,63,4401,129,39,91,6.44,0,No Service,Low,62.52,2799,4.86
VH02758,Van,Diesel,Rural,5,146973,591,76,3939,85,39,75,5.03,0,No Service,Low,74.42,829,3.04
VH02759,SUV,Hybrid,Highway,13,268978,2092,95,3064,118,39,50,14.34,1,Engine Service,High,52.02,6074,13.71
VH02760,Truck,Diesel,Highway,9,189881,1132,71,1847,96,28,89,8.98,0,No Service,Low,60.56,1535,7.66
VH02761,SUV,Petrol,Urban,13,136545,3383,58,3907,128,38,74,16.31,1,Oil Change,High,46.72,17190,14.77
VH02762,Sedan,Petrol,Rural,13,68171,11802,68,3125,70,36,51,13.24,1,Oil Change,High,52.48,18334,12.45
VH02763,Truck,Electric,Rural,9,282498,6116,77,4252,91,38,94,12.51,0,No Service,Low,56.8,2900,10.84
VH02764,Sedan,Hybrid,Rural,8,240651,5019,88,1166,91,39,35,11.33,0,No Service,Low,61.86,1761,10.05
VH02765,Sedan,Petrol,Urban,8,68860,6074,68,1272,96,39,94,8.36,0,No Service,Low,73.27,529,7.3
VH02766,Van,Hybrid,Highway,12,281648,9077,58,3704,85,32,56,5.84,1,Battery Check,Medium,45.38,18926,4.8
VH02767,SUV,Hybrid,Rural,2,195392,1933,59,1664,129,38,39,10.77,0,No Service,Low,57.95,2063,9.72
VH02768,Truck,Hybrid,Highway,14,144595,1091,92,1148,122,34,84,6.29,0,No Service,Low,66.09,2653,4.63
VH02769,Sedan,Hybrid,Urban,3,33982,7084,42,2723,105,37,63,16.77,0,No Service,Low,55.25,2820,14.83
VH02770,Sedan,Hybrid,Highway,14,273193,6446,79,1559,85,36,70,15.78,1,Engine Service,High,52.79,14948,14.3
VH02771,Truck,Diesel,Rural,8,285525,1883,44,1487,93,31,61,13.06,1,Battery Check,High,49.61,13885,12.23
VH02772,Sedan,Electric,Highway,13,248825,5284,62,2690,104,39,96,10.88,0,No Service,Low,56.98,2341,10.2
VH02773,Van,Hybrid,Highway,5,258038,1284,44,2285,102,38,80,10.9,0,No Service,Low,60.68,1958,10.28
VH02774,Van,Diesel,Urban,7,58390,10753,69,2027,86,32,68,11.04,0,No Service,Low,58.4,2230,9.69
VH02775,Van,Petrol,Urban,14,242361,1768,71,4819,74,30,34,14.69,1,Engine Service,High,41.22,11817,12.86
VH02776,Van,Hybrid,Urban,8,284205,6933,63,2401,104,34,87,6.64,0,No Service,Low,56.17,1880,5.52
VH02777,Sedan,Petrol,Urban,6,81241,5924,88,2903,88,28,46,11.91,0,No Service,Low,55.83,2561,11.18
VH02778,Truck,Hybrid,Highway,15,268565,10605,90,3485,112,35,52,15.56,1,Engine Service,Medium,38.4,5180,14.4
VH02779,Truck,Diesel,Highway,5,74535,671,90,2350,116,30,75,11.63,0,No Service,Low,64.24,1100,9.94
VH02780,Truck,Diesel,Urban,8,61576,4400,97,1507,103,31,36,5.18,0,No Service,Low,64.9,1720,3.51
VH02781,Truck,Diesel,Urban,1,38147,3838,81,1045,101,37,91,8.18,0,No Service,Low,80.95,697,7.09
VH02782,SUV,Electric,Rural,1,126622,683,74,1024,94,31,36,13.69,0,No Service,Low,62.93,2871,12.47
VH02783,Truck,Petrol,Rural,1,239155,7423,71,4510,128,38,44,17.14,1,Battery Check,High,44.23,19865,15.7
VH02784,SUV,Electric,Urban,3,51929,10512,93,2237,91,34,59,16.62,0,No Service,Low,60.66,2863,15.35
VH02785,SUV,Hybrid,Highway,10,72637,8599,96,1580,108,39,49,15.7,0,No Service,Low,59.45,2871,14.83
VH02786,Van,Petrol,Urban,13,163084,8353,84,2521,119,34,96,17.35,1,Battery Check,Medium,49.39,7062,15.69
VH02787,SUV,Diesel,Highway,12,19525,7640,87,1838,96,31,83,8.64,0,No Service,Low,63.67,1951,7.48
VH02788,Sedan,Petrol,Highway,6,139228,5679,83,2658,102,33,79,5.16,0,No Service,Low,65.88,1089,4.15
VH02789,SUV,Diesel,Rural,6,53348,4670,61,3687,77,35,78,9.61,0,No Service,Low,66.16,2325,8.68
VH02790,Van,Electric,Urban,5,70447,5791,60,1830,99,37,79,12.5,0,No Service,Low,65.31,578,10.68
VH02791,SUV,Electric,Urban,13,120709,10425,67,1270,117,31,32,9.11,1,Oil Change,Medium,43.69,16771,8.17
VH02792,Sedan,Diesel,Highway,13,242312,2059,88,2241,95,28,93,5.57,0,No Service,Low,60.49,2141,4.02
VH02793,Sedan,Diesel,Urban,14,96030,8130,73,4905,84,34,75,11.59,1,Battery Check,Medium,51.33,17840,10.64
VH02794,Sedan,Hybrid,Rural,7,207953,5226,55,4689,105,29,51,7.6,1,Oil Change,Medium,43.84,7350,6.72
VH02795,Van,Electric,Rural,5,89866,10324,50,4612,114,38,81,14.46,1,Oil Change,Medium,50.1,19934,13.33
VH02796,Van,Electric,Urban,14,61826,3862,72,1858,126,30,66,6.16,1,Battery Check,High,54.83,9275,4.25
VH02797,Truck,Hybrid,Urban,2,216355,2886,83,3633,81,35,89,17.46,0,No Service,Low,63.62,1765,15.71
VH02798,Van,Electric,Rural,4,105822,1642,77,3296,110,29,96,16.4,0,No Service,Low,58.24,601,15.48
VH02799,Sedan,Diesel,Urban,1,42887,1775,58,2096,114,29,77,16.36,0,No Service,Low,58.49,2278,15.32
VH02800,Sedan,Petrol,Highway,7,75045,133,67,2480,112,31,59,15.27,0,No Service,Low,55.53,2257,13.86
VH02801,Van,Petrol,Urban,4,114136,2899,68,1055,81,33,72,13.24,0,No Service,Low,67.86,767,12.1
VH02802,SUV,Electric,Highway,13,268507,7596,76,4464,73,37,39,5.69,1,Battery Check,High,51.95,15739,3.89
VH02803,Van,Hybrid,Urban,4,269797,1955,93,4071,127,38,31,13.61,1,Engine Service,Medium,51.34,5194,12.29
VH02804,Van,Diesel,Urban,13,37428,11972,92,3559,72,29,96,14.71,0,No Service,Low,55.19,2670,12.92
VH02805,Sedan,Petrol,Rural,4,142685,7023,42,4854,106,36,75,6.7,1,Oil Change,High,54.51,19372,5.82
VH02806,Truck,Diesel,Highway,3,83159,2785,57,3260,107,39,70,13.0,0,No Service,Low,63.91,1137,11.48
VH02807,Sedan,Electric,Rural,8,111337,1157,57,1334,101,29,33,11.23,1,Engine Service,High,52.95,4172,10.11
VH02808,Truck,Electric,Urban,4,212267,7038,51,2147,95,36,37,11.14,1,Battery Check,High,52.58,18803,10.48
VH02809,Sedan,Petrol,Rural,8,186095,4601,57,3559,73,34,39,7.59,0,No Service,Low,55.48,2883,6.52
VH02810,Van,Electric,Urban,9,39653,7697,71,1366,70,38,34,14.61,0,No Service,Low,62.48,1092,13.6
VH02811,Sedan,Hybrid,Urban,1,87512,6671,81,1403,124,30,88,17.03,0,No Service,Low,58.57,1719,16.04
VH02812,Sedan,Electric,Urban,15,119122,11253,75,2957,74,36,87,15.24,1,Oil Change,Medium,54.31,11671,13.8
VH02813,Sedan,Electric,Highway,4,267496,4488,91,642,71,36,52,9.8,0,No Service,Low,70.22,2545,8.69
VH02814,Van,Electric,Highway,6,25718,6122,99,4223,115,33,90,17.79,0,No Service,Low,58.32,1421,17.13
VH02815,Van,Diesel,Highway,8,84877,2727,58,3286,80,29,46,9.73,1,Oil Change,High,54.96,10350,8.92
VH02816,Van,Diesel,Rural,14,64219,3920,95,3890,78,34,57,8.05,0,No Service,Low,63.09,1785,6.79
VH02817,Van,Petrol,Urban,6,195026,7347,43,3195,77,31,47,17.59,1,Oil Change,Medium,42.8,14402,16.31
VH02818,Truck,Petrol,Rural,12,36285,11449,95,3259,127,31,81,15.27,1,Oil Change,Medium,47.45,16428,14.71
VH02819,Truck,Petrol,Rural,6,120545,3743,50,3849,108,34,87,14.9,1,Engine Service,High,53.47,9065,14.13
VH02820,SUV,Electric,Urban,10,268531,6291,42,4389,84,32,70,6.01,1,Oil Change,High,47.44,15979,4.52
VH02821,Van,Diesel,Rural,4,141527,3862,66,4233,78,28,30,7.5,1,Battery Check,High,52.99,19458,6.47
VH02822,Truck,Hybrid,Urban,9,83179,6087,86,2221,111,30,46,5.24,0,No Service,Low,57.71,838,4.24
VH02823,Sedan,Electric,Urban,7,137185,10423,55,3653,119,34,33,15.1,1,Battery Check,Medium,38.0,14944,14.53
VH02824,Van,Electric,Urban,14,211228,8898,83,4614,99,36,75,8.62,1,Engine Service,Medium,50.62,11970,7.54
VH02825,SUV,Electric,Urban,11,281011,2455,57,3331,98,36,99,6.72,0,No Service,Low,59.33,1258,6.13
VH02826,SUV,Hybrid,Rural,6,297721,10591,69,2204,120,34,35,7.36,1,Oil Change,High,44.7,7102,6.44
VH02827,SUV,Petrol,Rural,1,169719,1433,63,957,94,32,52,13.33,0,No Service,Low,62.6,1251,12.66
VH02828,Sedan,Hybrid,Rural,2,101007,4108,45,1776,91,31,30,10.63,0,No Service,Low,55.63,1370,8.87
VH02829,Truck,Petrol,Highway,12,211707,2573,86,3815,103,36,90,17.24,1,Oil Change,Medium,54.5,13964,16.44
VH02830,Sedan,Hybrid,Rural,6,154959,6243,73,2108,91,33,51,9.76,0,No Service,Low,58.66,2111,9.07
VH02831,Van,Diesel,Rural,11,53314,11849,94,4394,115,37,94,15.84,1,Oil Change,High,53.48,6286,14.07
VH02832,SUV,Electric,Highway,15,189275,3833,51,1596,99,29,86,12.1,1,Engine Service,High,48.75,16675,10.67
VH02833,Sedan,Electric,Urban,1,10059,2186,81,1126,122,30,65,14.17,0,No Service,Low,64.83,1690,12.24
VH02834,Sedan,Electric,Urban,15,98231,3450,62,1790,79,34,54,7.19,0,No Service,Low,60.73,1811,5.75
VH02835,Truck,Petrol,Urban,15,209372,8667,75,3911,74,31,45,14.74,1,Battery Check,High,41.01,6420,13.22
VH02836,Truck,Hybrid,Highway,11,273938,2052,79,2644,74,34,55,6.11,0,No Service,Low,61.5,1117,5.07
VH02837,SUV,Diesel,Rural,5,272141,3810,54,1399,71,39,34,13.98,0,No Service,Low,58.86,2534,12.37
VH02838,Sedan,Hybrid,Rural,1,282865,10380,90,1197,99,39,51,11.05,0,No Service,Low,62.35,777,9.68
VH02839,Sedan,Electric,Rural,13,200358,1793,55,3430,91,32,43,7.97,1,Battery Check,Medium,49.15,4624,7.23
VH02840,Truck,Diesel,Rural,3,277830,11847,84,4555,82,28,99,11.25,1,Battery Check,Medium,51.07,14985,10.51
VH02841,Sedan,Diesel,Highway,12,244363,8363,96,4691,108,37,46,16.12,1,Engine Service,High,42.8,14048,14.66
VH02842,Sedan,Electric,Rural,12,205335,1874,86,4117,94,30,30,7.01,1,Battery Check,High,49.88,9236,6.1
VH02843,Sedan,Hybrid,Urban,12,72722,673,53,3940,122,36,47,7.21,1,Engine Service,Medium,53.28,19709,5.89
VH02844,Truck,Electric,Highway,7,193645,6585,54,3916,96,31,40,11.94,1,Engine Service,High,43.14,17982,11.15
VH02845,SUV,Hybrid,Highway,5,153960,4764,51,3550,116,39,41,13.13,1,Battery Check,Medium,50.89,18386,12.0
VH02846,Van,Diesel,Urban,15,285677,5159,82,2989,96,32,63,10.46,1,Oil Change,Medium,47.64,14426,8.67
VH02847,SUV,Diesel,Urban,12,162988,5462,92,1292,90,29,37,8.46,0,No Service,Low,55.29,2577,6.93
VH02848,Van,Electric,Rural,15,71422,4166,74,2575,100,37,71,5.87,0,No Service,Low,63.98,599,4.64
VH02849,Sedan,Diesel,Urban,10,280288,6571,64,4043,84,38,43,5.65,1,Oil Change,Medium,53.11,7796,4.41
VH02850,SUV,Petrol,Highway,1,251815,6213,53,1422,126,35,80,5.53,0,No Service,Low,60.39,1415,4.45
VH02851,Van,Diesel,Highway,1,101045,11999,41,1981,107,28,38,16.72,1,Battery Check,Medium,39.61,5233,15.24
VH02852,Truck,Petrol,Highway,15,204784,8444,57,1241,108,38,67,6.71,1,Oil Change,High,54.21,10984,5.93
VH02853,Truck,Diesel,Rural,8,270658,5474,74,2533,105,31,58,8.84,1,Oil Change,High,50.64,19842,7.83
VH02854,SUV,Electric,Rural,11,173590,9020,48,1945,105,33,58,17.82,1,Engine Service,Medium,40.68,12450,16.3
VH02855,SUV,Electric,Urban,14,33830,10571,50,874,70,35,57,17.06,1,Oil Change,Medium,52.96,8303,15.47
VH02856,Sedan,Petrol,Rural,13,228957,9844,65,3409,80,31,35,5.56,1,Engine Service,Medium,44.79,3589,3.73
VH02857,SUV,Electric,Rural,9,286847,3763,42,1123,74,29,31,12.17,1,Oil Change,High,45.48,6706,11.21
VH02858,Sedan,Diesel,Highway,7,162550,11859,44,1548,103,31,82,13.24,1,Oil Change,High,47.26,4100,11.46
VH02859,Sedan,Diesel,Highway,13,77918,6794,71,1105,106,28,60,5.7,1,Oil Change,Medium,55.08,18171,3.97
VH02860,Truck,Electric,Urban,3,63250,6241,80,2613,74,35,66,14.47,0,No Service,Low,67.28,1839,13.95
VH02861,Truck,Diesel,Highway,12,232191,6386,49,3076,89,36,85,17.84,1,Battery Check,High,47.14,18117,16.33
VH02862,Van,Hybrid,Rural,6,117777,6260,77,777,114,30,69,10.58,0,No Service,Low,58.91,1645,8.93
VH02863,Truck,Hybrid,Urban,3,116616,11398,45,2557,113,35,41,10.84,1,Engine Service,High,47.85,10301,10.34
VH02864,Truck,Diesel,Urban,10,56799,9291,50,1664,111,36,84,13.57,1,Battery Check,High,54.9,19789,12.33
VH02865,SUV,Electric,Highway,4,235300,7242,56,4381,82,39,86,14.58,0,No Service,Low,56.89,1129,12.65
VH02866,Truck,Petrol,Highway,12,17644,5121,98,4623,78,35,74,15.27,0,No Service,Low,61.81,1604,13.34
VH02867,Van,Electric,Highway,4,64560,6970,41,3671,74,29,54,6.01,0,No Service,Low,56.26,1973,4.4
VH02868,SUV,Petrol,Urban,3,115589,6408,80,3267,107,29,71,15.41,1,Engine Service,High,52.83,15842,13.66
VH02869,Van,Electric,Highway,10,295306,9426,63,760,101,37,47,16.23,1,Oil Change,Medium,45.97,19428,15.27
VH02870,Truck,Diesel,Rural,6,155222,4842,89,4633,99,31,59,5.59,0,No Service,Low,58.12,899,4.4
VH02871,Van,Hybrid,Urban,5,105373,3245,44,4065,118,28,47,5.51,1,Oil Change,Medium,47.9,18296,3.52
VH02872,SUV,Electric,Highway,11,46003,8243,60,4318,97,39,36,12.16,1,Engine Service,Medium,50.46,11835,10.45
VH02873,Sedan,Petrol,Rural,9,61746,2815,45,3294,106,30,59,11.46,1,Battery Check,Medium,49.81,10619,10.89
VH02874,Van,Hybrid,Rural,9,76923,8645,43,1703,97,31,34,17.74,1,Battery Check,High,41.56,17904,17.16
VH02875,Van,Petrol,Highway,3,142055,5493,48,2512,126,39,98,8.83,0,No Service,Low,63.79,1267,7.46
VH02876,SUV,Diesel,Rural,13,57114,9594,44,2310,129,29,62,12.67,1,Oil Change,Medium,38.13,19223,11.61
VH02877,SUV,Hybrid,Urban,9,107687,4182,43,4108,112,39,35,11.59,1,Battery Check,Medium,48.52,7732,10.73
VH02878,Van,Petrol,Urban,13,61274,3831,48,803,75,34,77,11.96,0,No Service,Low,63.27,2418,10.98
VH02879,Truck,Electric,Rural,12,228411,8801,57,1596,110,37,33,13.58,1,Engine Service,Medium,42.98,12477,11.64
VH02880,Van,Diesel,Urban,3,291522,1637,98,4528,113,30,42,11.99,1,Engine Service,High,49.34,6840,11.01
VH02881,SUV,Diesel,Highway,4,262816,8192,82,4118,98,34,55,5.09,0,No Service,Low,55.68,1035,4.05
VH02882,Sedan,Diesel,Rural,1,279692,277,55,1666,73,34,78,15.97,0,No Service,Low,63.97,2814,14.79
VH02883,Sedan,Electric,Urban,5,49621,2476,41,4809,87,38,49,7.62,0,No Service,Low,61.33,1338,6.87
VH02884,Truck,Electric,Highway,12,258660,7838,68,2852,84,36,61,8.01,1,Oil Change,Medium,53.66,10278,6.92
VH02885,Van,Hybrid,Highway,9,207383,9092,87,844,94,31,94,13.42,0,No Service,Low,58.58,1240,11.95
VH02886,Sedan,Electric,Urban,15,267870,6931,90,1243,73,31,82,11.21,0,No Service,Low,57.17,1308,10.32
VH02887,Van,Hybrid,Rural,2,96901,3343,81,2121,83,28,94,12.47,0,No Service,Low,68.24,2057,11.03
VH02888,SUV,Diesel,Highway,4,237315,3766,75,3041,128,38,32,11.47,1,Battery Check,Medium,51.8,17448,10.6
VH02889,Sedan,Hybrid,Highway,10,125423,1037,51,2422,119,33,50,10.43,1,Battery Check,Medium,51.36,13244,8.75
VH02890,Truck,Petrol,Highway,2,262537,3127,97,1648,86,33,72,11.28,0,No Service,Low,68.23,1271,9.38
VH02891,SUV,Diesel,Highway,14,99673,2120,80,3388,103,34,54,6.83,0,No Service,Low,58.22,1262,5.67
VH02892,Truck,Diesel,Rural,8,290014,11074,84,4450,122,36,96,17.6,1,Engine Service,High,43.13,8861,15.66
VH02893,SUV,Hybrid,Urban,9,55738,7302,76,1156,88,37,64,12.47,0,No Service,Low,65.61,2626,10.98
VH02894,Sedan,Diesel,Urban,3,77537,11832,73,1275,98,37,52,8.73,0,No Service,Low,64.01,1834,7.16
VH02895,Truck,Electric,Urban,13,251015,2074,74,2169,91,37,42,14.27,1,Engine Service,High,52.74,15678,13.0
VH02896,Truck,Petrol,Highway,15,234471,9810,79,2507,83,36,52,16.44,1,Oil Change,High,45.7,5638,15.6
VH02897,SUV,Hybrid,Rural,9,151118,10961,45,2159,105,32,92,8.85,1,Battery Check,Medium,51.18,19125,6.94
VH02898,Truck,Hybrid,Urban,6,164724,1358,76,1106,71,29,44,9.22,0,No Service,Low,64.32,2027,7.26
VH02899,SUV,Diesel,Rural,6,286030,7152,75,4203,114,28,55,10.7,1,Engine Service,High,40.47,9415,8.94
VH02900,SUV,Electric,Urban,7,180020,3210,59,929,76,29,96,7.82,0,No Service,Low,66.79,628,6.63
VH02901,SUV,Diesel,Highway,12,214402,9534,55,3872,97,29,90,15.53,1,Battery Check,High,39.14,5956,14.77
VH02902,SUV,Diesel,Urban,5,121705,2853,47,1504,128,39,57,12.59,0,No Service,Low,58.17,666,11.96
VH02903,Sedan,Hybrid,Highway,6,125431,5894,83,2112,123,28,63,5.74,0,No Service,Low,56.52,2043,4.48
VH02904,SUV,Diesel,Highway,11,278306,2775,61,4689,77,39,45,17.96,1,Oil Change,Medium,46.62,14709,17.0
VH02905,Van,Petrol,Urban,1,92293,11964,44,2862,98,35,72,12.47,1,Engine Service,Medium,54.58,5070,10.69
VH02906,Truck,Diesel,Rural,3,146977,519,44,2700,79,30,40,16.57,1,Oil Change,High,52.13,8372,15.25
VH02907,Van,Diesel,Highway,12,136614,8944,93,2687,90,37,53,11.52,0,No Service,Low,57.58,1834,9.64
VH02908,Sedan,Hybrid,Rural,9,120580,2971,84,2120,104,37,54,12.57,0,No Service,Low,61.99,2535,10.98
VH02909,Van,Diesel,Urban,12,48457,11537,50,4811,73,39,48,10.91,1,Oil Change,Medium,50.87,3714,9.73
VH02910,Truck,Electric,Highway,5,94940,967,82,3341,122,35,63,10.5,0,No Service,Low,62.4,2216,8.88
VH02911,Van,Hybrid,Rural,5,29676,11279,58,4965,90,33,95,7.84,0,No Service,Low,58.59,1300,5.89
VH02912,Sedan,Diesel,Highway,8,82433,8465,78,1471,107,28,34,17.51,1,Battery Check,Medium,44.44,12198,16.16
VH02913,SUV,Petrol,Urban,11,154942,8104,56,2788,94,34,95,7.36,0,No Service,Low,57.75,1105,6.39
VH02914,Van,Petrol,Highway,11,286363,4832,76,2058,89,30,83,11.84,1,Battery Check,High,53.0,3865,10.79
VH02915,Sedan,Hybrid,Urban,13,223049,9851,77,2868,76,36,53,6.13,0,No Service,Low,55.61,2568,4.7
VH02916,Sedan,Hybrid,Rural,2,130082,4227,57,2592,76,36,80,17.91,0,No Service,Low,63.48,2076,15.96
VH02917,Truck,Diesel,Highway,13,195366,4692,89,783,101,31,53,12.22,1,Engine Service,High,54.1,12514,11.02
VH02918,Truck,Electric,Rural,7,12948,2342,48,2534,101,29,79,15.59,0,No Service,Low,55.17,2184,14.03
VH02919,Van,Diesel,Urban,9,45902,2588,89,4155,91,37,83,12.32,0,No Service,Low,67.81,1703,11.55
VH02920,SUV,Petrol,Urban,7,224579,1612,90,4124,118,36,46,15.46,1,Engine Service,High,50.87,12493,14.03
VH02921,Sedan,Electric,Rural,12,18969,5716,56,2314,94,32,64,11.95,1,Engine Service,High,54.95,7827,10.35
VH02922,Van,Electric,Rural,5,72805,2871,80,1171,75,38,59,10.78,0,No Service,Low,75.93,619,9.65
VH02923,Sedan,Electric,Urban,13,292790,1743,72,2634,120,39,76,10.93,1,Engine Service,Medium,54.61,18729,9.47
VH02924,Sedan,Diesel,Rural,6,201638,123,59,1982,96,35,71,5.03,0,No Service,Low,67.6,782,4.19
VH02925,SUV,Petrol,Urban,4,65818,2437,94,2846,87,36,51,9.82,0,No Service,Low,71.64,2838,8.63
VH02926,SUV,Hybrid,Rural,14,13678,3043,57,513,81,38,60,17.38,0,No Service,Low,63.02,1436,15.64
VH02927,Van,Diesel,Urban,12,250116,8122,63,1255,97,28,80,13.78,1,Battery Check,High,45.26,15042,12.98
VH02928,SUV,Hybrid,Urban,7,103055,4826,52,668,88,38,66,16.95,0,No Service,Low,62.26,2672,16.32
